,Precision,Recall,Zeroed,NmrNeighbors,NmrRecommendations,,Value,,,,,,,,,NmrRecommendations,Precision,Recall,,NmrNeighbors,Precision,Recall,,NmrRecommendations,NmrNeighbors,Zeroed,,,NmrNeighbors,NmrRecommendations
150,0.18,0.01,774,8,1,,,,,,,,,,,1,0.18,0.01,,8,0.18,0.01,,1,8,774,,150,8,1
151,0.17,0.02,576,8,3,,,,,,,,,,,3,0.17,0.02,,8,0.17,0.02,,3,8,576,,151,8,3
152,0.17,0.03,462,8,5,,,,,,,,,,,5,0.17,0.03,,8,0.17,0.03,,5,8,462,,152,8,5
153,0.16,0.04,399,8,7,,,,,,,,,,,7,0.16,0.04,,8,0.16,0.04,,7,8,399,,153,8,7
154,0.15,0.05,355,8,9,,,,,,,,,,,9,0.15,0.05,,8,0.15,0.05,,9,8,355,,154,8,9
155,0.15,0.06,311,8,11,,,,,,,,,,,11,0.15,0.06,,8,0.15,0.06,,11,8,311,,155,8,11
156,0.14,0.06,271,8,13,,,,,,,,,,,13,0.14,0.06,,8,0.14,0.06,,13,8,271,,156,8,13
157,0.14,0.07,247,8,15,,,,,,,,,,,15,0.14,0.07,,8,0.14,0.07,,15,8,247,,157,8,15
158,0.13,0.08,224,8,17,,,,,,,,,,,17,0.13,0.08,,8,0.13,0.08,,17,8,224,,158,8,17
159,0.13,0.09,210,8,19,,,,,,,,,,,19,0.13,0.09,,8,0.13,0.09,,19,8,210,,159,8,19
160,0.13,0.09,198,8,21,,,,,,,,,,,21,0.13,0.09,,8,0.13,0.09,,21,8,198,,160,8,21
161,0.13,0.1,184,8,23,,,,,,,,,,,23,0.13,0.1,,8,0.13,0.1,,23,8,184,,161,8,23
162,0.12,0.1,175,8,25,,,,,,,,,,,25,0.12,0.1,,8,0.12,0.1,,25,8,175,,162,8,25
163,0.12,0.11,168,8,27,,,,,,,,,,,27,0.12,0.11,,8,0.12,0.11,,27,8,168,,163,8,27
164,0.12,0.12,153,8,29,,,,,,,,,,,29,0.12,0.12,,8,0.12,0.12,,29,8,153,,164,8,29
165,0.12,0.12,138,8,31,,,,,,,,,,,31,0.12,0.12,,8,0.12,0.12,,31,8,138,,165,8,31
166,0.12,0.13,130,8,33,,,,,,,,,,,33,0.12,0.13,,8,0.12,0.13,,33,8,130,,166,8,33
167,0.11,0.13,126,8,35,,,,,,,,,,,35,0.11,0.13,,8,0.11,0.13,,35,8,126,,167,8,35
168,0.11,0.14,118,8,37,,,,,,,,,,,37,0.11,0.14,,8,0.11,0.14,,37,8,118,,168,8,37
169,0.11,0.14,115,8,39,,,,,,,,,,,39,0.11,0.14,,8,0.11,0.14,,39,8,115,,169,8,39
170,0.11,0.15,112,8,41,,,,,,,,,,,41,0.11,0.15,,8,0.11,0.15,,41,8,112,,170,8,41
171,0.11,0.15,110,8,43,,,,,,,,,,,43,0.11,0.15,,8,0.11,0.15,,43,8,110,,171,8,43
172,0.11,0.16,107,8,45,,,,,,,,,,,45,0.11,0.16,,8,0.11,0.16,,45,8,107,,172,8,45
173,0.1,0.16,98,8,47,,,,,,,,,,,47,0.1,0.16,,8,0.1,0.16,,47,8,98,,173,8,47
174,0.1,0.17,97,8,49,,,,,,,,,,,49,0.1,0.17,,8,0.1,0.17,,49,8,97,,174,8,49
175,0.1,0.17,92,8,51,,,,,,,,,,,51,0.1,0.17,,8,0.1,0.17,,51,8,92,,175,8,51
176,0.1,0.17,88,8,53,,,,,,,,,,,53,0.1,0.17,,8,0.1,0.17,,53,8,88,,176,8,53
177,0.1,0.18,85,8,55,,,,,,,,,,,55,0.1,0.18,,8,0.1,0.18,,55,8,85,,177,8,55
178,0.1,0.18,81,8,57,,,,,,,,,,,57,0.1,0.18,,8,0.1,0.18,,57,8,81,,178,8,57
179,0.1,0.19,79,8,59,,,,,,,,,,,59,0.1,0.19,,8,0.1,0.19,,59,8,79,,179,8,59
180,0.1,0.19,77,8,61,,,,,,,,,,,61,0.1,0.19,,8,0.1,0.19,,61,8,77,,180,8,61
181,0.1,0.2,74,8,63,,,,,,,,,,,63,0.1,0.2,,8,0.1,0.2,,63,8,74,,181,8,63
182,0.1,0.2,70,8,65,,,,,,,,,,,65,0.1,0.2,,8,0.1,0.2,,65,8,70,,182,8,65
183,0.09,0.2,68,8,67,,,,,,,,,,,67,0.09,0.2,,8,0.09,0.2,,67,8,68,,183,8,67
184,0.09,0.21,66,8,69,,,,,,,,,,,69,0.09,0.21,,8,0.09,0.21,,69,8,66,,184,8,69
185,0.09,0.21,64,8,71,,,,,,,,,,,71,0.09,0.21,,8,0.09,0.21,,71,8,64,,185,8,71
186,0.09,0.22,64,8,73,,,,,,,,,,,73,0.09,0.22,,8,0.09,0.22,,73,8,64,,186,8,73
187,0.09,0.22,63,8,75,,,,,,,,,,,75,0.09,0.22,,8,0.09,0.22,,75,8,63,,187,8,75
188,0.09,0.22,61,8,77,,,,,,,,,,,77,0.09,0.22,,8,0.09,0.22,,77,8,61,,188,8,77
189,0.09,0.23,61,8,79,,,,,,,,,,,79,0.09,0.23,,8,0.09,0.23,,79,8,61,,189,8,79
190,0.09,0.23,60,8,81,,,,,,,,,,,81,0.09,0.23,,8,0.09,0.23,,81,8,60,,190,8,81
191,0.09,0.23,58,8,83,,,,,,,,,,,83,0.09,0.23,,8,0.09,0.23,,83,8,58,,191,8,83
192,0.09,0.24,55,8,85,,,,,,,,,,,85,0.09,0.24,,8,0.09,0.24,,85,8,55,,192,8,85
193,0.09,0.24,51,8,87,,,,,,,,,,,87,0.09,0.24,,8,0.09,0.24,,87,8,51,,193,8,87
194,0.09,0.25,51,8,89,,,,,,,,,,,89,0.09,0.25,,8,0.09,0.25,,89,8,51,,194,8,89
195,0.09,0.25,50,8,91,,,,,,,,,,,91,0.09,0.25,,8,0.09,0.25,,91,8,50,,195,8,91
196,0.09,0.26,48,8,93,,,,,,,,,,,93,0.09,0.26,,8,0.09,0.26,,93,8,48,,196,8,93
197,0.08,0.26,47,8,95,,,,,,,,,,,95,0.08,0.26,,8,0.08,0.26,,95,8,47,,197,8,95
198,0.08,0.26,44,8,97,,,,,,,,,,,97,0.08,0.26,,8,0.08,0.26,,97,8,44,,198,8,97
199,0.08,0.27,44,8,99,,,,,,,,,,,99,0.08,0.27,,8,0.08,0.27,,99,8,44,,199,8,99
200,0.2,0.01,755,10,1,,,,,,,,,,,1,0.2,0.01,,10,0.2,0.01,,1,10,755,,200,10,1
201,0.17,0.02,575,10,3,,,,,,,,,,,3,0.17,0.02,,10,0.17,0.02,,3,10,575,,201,10,3
202,0.17,0.03,452,10,5,,,,,,,,,,,5,0.17,0.03,,10,0.17,0.03,,5,10,452,,202,10,5
203,0.16,0.04,391,10,7,,,,,,,,,,,7,0.16,0.04,,10,0.16,0.04,,7,10,391,,203,10,7
204,0.16,0.05,341,10,9,,,,,,,,,,,9,0.16,0.05,,10,0.16,0.05,,9,10,341,,204,10,9
205,0.15,0.06,300,10,11,,,,,,,,,,,11,0.15,0.06,,10,0.15,0.06,,11,10,300,,205,10,11
206,0.15,0.06,276,10,13,,,,,,,,,,,13,0.15,0.06,,10,0.15,0.06,,13,10,276,,206,10,13
207,0.14,0.07,251,10,15,,,,,,,,,,,15,0.14,0.07,,10,0.14,0.07,,15,10,251,,207,10,15
208,0.14,0.08,231,10,17,,,,,,,,,,,17,0.14,0.08,,10,0.14,0.08,,17,10,231,,208,10,17
209,0.14,0.09,213,10,19,,,,,,,,,,,19,0.14,0.09,,10,0.14,0.09,,19,10,213,,209,10,19
210,0.13,0.09,194,10,21,,,,,,,,,,,21,0.13,0.09,,10,0.13,0.09,,21,10,194,,210,10,21
211,0.13,0.1,181,10,23,,,,,,,,,,,23,0.13,0.1,,10,0.13,0.1,,23,10,181,,211,10,23
212,0.13,0.11,174,10,25,,,,,,,,,,,25,0.13,0.11,,10,0.13,0.11,,25,10,174,,212,10,25
213,0.13,0.12,154,10,27,,,,,,,,,,,27,0.13,0.12,,10,0.13,0.12,,27,10,154,,213,10,27
214,0.13,0.12,146,10,29,,,,,,,,,,,29,0.13,0.12,,10,0.13,0.12,,29,10,146,,214,10,29
215,0.12,0.13,130,10,31,,,,,,,,,,,31,0.12,0.13,,10,0.12,0.13,,31,10,130,,215,10,31
216,0.12,0.13,124,10,33,,,,,,,,,,,33,0.12,0.13,,10,0.12,0.13,,33,10,124,,216,10,33
217,0.12,0.14,116,10,35,,,,,,,,,,,35,0.12,0.14,,10,0.12,0.14,,35,10,116,,217,10,35
218,0.12,0.15,110,10,37,,,,,,,,,,,37,0.12,0.15,,10,0.12,0.15,,37,10,110,,218,10,37
219,0.12,0.15,109,10,39,,,,,,,,,,,39,0.12,0.15,,10,0.12,0.15,,39,10,109,,219,10,39
220,0.11,0.16,105,10,41,,,,,,,,,,,41,0.11,0.16,,10,0.11,0.16,,41,10,105,,220,10,41
221,0.11,0.16,100,10,43,,,,,,,,,,,43,0.11,0.16,,10,0.11,0.16,,43,10,100,,221,10,43
222,0.11,0.16,98,10,45,,,,,,,,,,,45,0.11,0.16,,10,0.11,0.16,,45,10,98,,222,10,45
